,day,cases
0,1,1
1,2,1
2,3,2
3,4,2
4,5,2
5,6,2
6,7,3
7,8,7
8,9,7
9,10,10
10,11,12
11,12,12
12,13,15
13,14,17
14,15,21
15,16,25
16,17,39
17,18,50
18,19,70
19,20,82
20,21,109
21,22,143
22,23,193
23,24,213
24,25,298
25,26,337
26,27,433
27,28,677
28,29,705
29,30,883
30,31,1071
31,32,1238
