,day,cases
0,1,2
1,2,2
2,3,2
3,4,2
4,5,2
5,6,3
6,7,5
7,8,7
8,9,10
9,10,12
10,11,12
11,12,15
12,13,16
13,14,20
14,15,22
15,16,37
16,17,39
17,18,59
18,19,77
19,20,99
20,21,130
21,22,164
22,23,200
23,24,253
24,25,318
25,26,421
26,27,524
27,28,677
28,29,838
29,30,943
30,31,1207
31,32,1552
32,33,2000
33,34,2463
34,35,3011
35,36,3404
36,37,3824
37,38,4316
38,39,4782
39,40,5523
40,41,6186
41,42,6901
42,43,7533
43,44,7989
44,45,8618
45,46,8970
46,47,9313
47,48,9749
48,49,10067
49,50,10441
50,51,10743
