,day,cases
0,1,2
1,2,5
2,3,18
3,4,29
4,5,43
5,6,64
6,7,95
7,8,139
8,9,245
9,10,388
10,11,593
11,12,978
12,13,1501
13,14,2336
14,15,2922
15,16,3513
16,17,4747
17,18,5823
18,19,6566
19,20,7161
20,21,8042
21,22,9000
22,23,10075
23,24,11364
24,25,12729
25,26,13938
26,27,14991
27,28,16169
28,29,17361
29,30,18407
30,31,19644
31,32,20610
32,33,21638
